n,name,slug,profile,level,subjects,subject_slugs
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,perechen-5,"умные системы и технологии: умный город, цифровые сенсорные системы",3,"компьютерные и информационные науки, информатика и вычислительная техника, информационная безопасность, электроника, радиотехника и системы связи, фотоника, приборостроение, оптические и биотехнические системы и технологии, управление в технических системах, математика и механика, техносферная безопасность и природообустройство, технологии материалов, нанотехнологии и наноматериалы, образование и педагогические науки",inzheneriya;informatika;fizika;matematika;prochee
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,perechen-5,интеллектуальные робототехнические системы,3,"компьютерные и информационные науки, информатика и вычислительная техника, информационная безопасность, электроника, радиотехника и системы связи, фотоника, приборостроение, оптические и биотехнические системы и технологии, электро- и теплоэнергетика, машиностроение, авиационная и ракетно-космическая техника, управление в технических системах",inzheneriya;informatika;fizika
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,perechen-5,искусственный интеллект,3,"математика и механика, компьютерные и информационные науки, информатика и вычислительная техника, информационная безопасность",informatika;matematika
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,perechen-5,разработка мобильных приложений,3,"математика и механика, компьютерные и информационные науки, информатика и вычислительная техника, информационная безопасность",matematika;informatika
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,perechen-5,автоматизация бизнес-процессов,2,"математика и механика, компьютерные и информационные науки, информатика и вычислительная техника, информационная безопасность, электроника, радиотехника и системы связи, управление в технических системах, экономика и управление, автоматизация и управление технологическими процессами и производствами",inzheneriya;matematika;informatika;ekonomika
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,perechen-5,программная инженерия в финансовых технологиях,3,"математика и механика, компьютерные и информационные науки, информатика и вычислительная техника, информационная безопасность, электроника, радиотехника и системы связи, фотоника, приборостроение, оптические и биотехнические системы и технологии, электро- и теплоэнергетика, машиностроение, авиационная и ракетно-космическая техника",informatika;matematika;inzheneriya;fizika
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,perechen-5,большие данные и машинное обучение,3,"математика и механика, компьютерные и информационные науки, информатика и вычислительная техника, информационная безопасность, электроника, радиотехника и системы связи, фотоника, приборостроение, оптические и биотехнические системы и технологии, электро- и теплоэнергетика, машиностроение, авиационная и ракетно-космическая техника, управление в технических системах, языкознание и литературоведение",matematika;informatika;inzheneriya;fizika;yazyki
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,perechen-5,интеллектуальные энергетические системы,3,"математика и механика, компьютерные и информационные науки, информатика и вычислительная техника, информационная безопасность, электроника, радиотехника и системы связи, электро- и теплоэнергетика, управление в технических системах",matematika;informatika;inzheneriya
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,perechen-5,автономные транспортные системы,2,"математика и механика, компьютерные и информационные науки, информатика и вычислительная техника, электроника, радиотехника и системы связи, машиностроение, техника и технологии наземного транспорта, авиационная и ракетно-космическая техника, аэронавигация и эксплуатация авиационной и ракетно-космической техники, управление в технических системах",inzheneriya;matematika;informatika
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,perechen-5,квантовый инжиниринг,3,"математика и механика, физико-технические науки и технологии",matematika;fizika
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,perechen-5,инженерные биологические системы,2,"науки о земле, биологические науки, фотоника, приборостроение, оптические и биотехнические системы и технологии, электро- и теплоэнергетика, промышленная экология и биотехнологии, техносферная безопасность и природообустройство, сельское, лесное и рыбное хозяйство",biologiya;nauki-o-zemle;fizika;inzheneriya
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,perechen-5,ядерные технологии,2,"фотоника, приборостроение, оптические и биотехнические системы и технологии, ядерная энергетика и технологии, машиностроение, управление в технических системах",fizika;inzheneriya
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,perechen-5,наносистемы и химический инжиниринг,3,"электроника, радиотехника и системы связи, фотоника, приборостроение, оптические и биотехнические системы и технологии, химические технологии, промышленная экология и биотехнологии, техносферная безопасность и природообустройство, технологии материалов, нанотехнологии и наноматериалы, машиностроение, управление в технических системах, автоматизация и управление технологическими процессами и производствами",himiya;inzheneriya;fizika;biologiya
6,Всероссийская олимпиада по агрогенетике для школьников старших классов «Иннагрика»,perechen-6,аграрная генетика,1,биология,biologiya
7,Всероссийская олимпиада по искусственному интеллекту (с возможностью участия иностранных обучающихся),perechen-7,искусственный интеллект,2,информатика,informatika
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,биология,2,биология,biologiya
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,востоковедение,2,востоковедение и африканистика,obshchestvo
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,география,2,география,nauki-o-zemle
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,дизайн,1,изобразительное и прикладные виды искусств,iskusstvo
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,восточные языки,1,иностранный язык,yazyki
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,иностранный язык,1,иностранный язык,yazyki
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,информатика,1,информатика,informatika
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,инженерные науки,2,"информационная безопасность, информатика и вычислительная техника",informatika
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,история искусств,2,искусствознание,iskusstvo
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,история,1,история,istoriya
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,промышленное программирование,2,"компьютерные и информационные науки, информатика и вычислительная техника",informatika
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,анализ данных,3,"компьютерные и информационные науки, информатика и вычислительная техника",informatika
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,культурология,1,культуроведение и социокультурные проекты,iskusstvo
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,математика,1,математика,matematika
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,обществознание,1,обществознание,obshchestvo
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,международные отношения,2,политические науки и регионоведение,obshchestvo
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,право,1,право,obshchestvo
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,психология,2,психологические науки,obshchestvo
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,русский язык,2,русский язык,yazyki
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,социология,2,социология и социальная работа,obshchestvo
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,журналистика,1,средства массовой информации и информационно-библиотечное дело,literatura
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,физика,2,физика,fizika
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,философия,2,"философия, этика и религиоведение",obshchestvo
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,химия,2,химия,himiya
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,финансовая грамотность,1,экономика,ekonomika
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,экономика,1,экономика,ekonomika
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,основы бизнеса,2,экономика и управление,ekonomika
8,Всероссийская олимпиада школьников «Высшая проба»,perechen-8,филология,1,"языкознание и литературоведение, литература",yazyki;literatura
9,Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание - финансист!»,perechen-9,иностранный язык,3,иностранный язык,yazyki
9,Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание - финансист!»,perechen-9,история,3,история,istoriya
9,Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание - финансист!»,perechen-9,обществознание,3,обществознание,obshchestvo
9,Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание - финансист!»,perechen-9,финансовая грамотность,2,экономика,ekonomika
9,Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание - финансист!»,perechen-9,экономика,2,экономика,ekonomika
10,Всероссийская олимпиада школьников «Юридические высоты!»,perechen-10,право,2,юриспруденция,obshchestvo
11,Всероссийская Сеченовская олимпиада школьников,perechen-11,биология,2,биология,biologiya
11,Всероссийская Сеченовская олимпиада школьников,perechen-11,химия,2,химия,himiya
12,Всероссийская Толстовская олимпиада школьников,perechen-12,история,3,история,istoriya
12,Всероссийская Толстовская олимпиада школьников,perechen-12,литература,3,литература,literatura
12,Всероссийская Толстовская олимпиада школьников,perechen-12,право,3,обществознание,obshchestvo
12,Всероссийская Толстовская олимпиада школьников,perechen-12,обществознание,3,обществознание,obshchestvo
13,Всероссийский конкурс научных работ школьников «Юниор»,perechen-13,естественные науки,3,"науки о земле, биологические науки, промышленная экология и биотехнологии",nauki-o-zemle;biologiya
13,Всероссийский конкурс научных работ школьников «Юниор»,perechen-13,инженерные науки,2,"фотоника, приборостроение, оптические и биотехнические системы и технологии, ядерная энергетика и технологии, физико-технические науки и технологии, технологии материалов, нанотехнологии и наноматериалы, машиностроение",fizika;inzheneriya
14,Всесибирская открытая олимпиада школьников,perechen-14,биология,2,биология,biologiya
14,Всесибирская открытая олимпиада школьников,perechen-14,информатика,2,информатика,informatika
14,Всесибирская открытая олимпиада школьников,perechen-14,математика,2,математика,matematika
14,Всесибирская открытая олимпиада школьников,perechen-14,физика,2,физика,fizika
14,Всесибирская открытая олимпиада школьников,perechen-14,химия,1,химия,himiya
15,Вузовско-академическая олимпиада по информатике,perechen-15,информатика,1,информатика,informatika
16,Герценовская олимпиада школьников,perechen-16,география,2,география,nauki-o-zemle
16,Герценовская олимпиада школьников,perechen-16,иностранный язык,2,иностранный язык,yazyki
17,Городская открытая олимпиада школьников по физике,perechen-17,физика,2,физика,fizika
18,Инженерная олимпиада школьников,perechen-18,физика,1,физика,fizika
19,Интернет-олимпиада школьников по физике,perechen-19,физика,2,физика,fizika
20,Кутафинская олимпиада школьников по праву,perechen-20,право,1,право,obshchestvo
21,Международная музыкальная олимпиада,perechen-21,теория и история музыки,3,искусствознание,iskusstvo
21,Международная музыкальная олимпиада,perechen-21,деревянные духовые инструменты,3,музыкальное искусство,iskusstvo
21,Международная музыкальная олимпиада,perechen-21,инструменты народного оркестра,2,музыкальное искусство,iskusstvo
21,Международная музыкальная олимпиада,perechen-21,музыкальная педагогика и исполнительство,3,музыкальное искусство,iskusstvo
21,Международная музыкальная олимпиада,perechen-21,струнные инструменты,3,музыкальное искусство,iskusstvo
21,Международная музыкальная олимпиада,perechen-21,фортепиано,3,музыкальное искусство,iskusstvo
21,Международная музыкальная олимпиада,perechen-21,хоровое дирижирование,3,музыкальное искусство,iskusstvo
22,Международная олимпиада «Innopolis Open»,perechen-22,робототехника,3,информатика,inzheneriya;informatika
22,Международная олимпиада «Innopolis Open»,perechen-22,искусственный интеллект,3,информатика,informatika
22,Международная олимпиада «Innopolis Open»,perechen-22,информационная безопасность,3,информатика,informatika
22,Международная олимпиада «Innopolis Open»,perechen-22,информатика,2,информатика,informatika
22,Международная олимпиада «Innopolis Open»,perechen-22,математика,2,математика,matematika
23,Международная олимпиада по финансовой безопасности,perechen-23,финансовая безопасность,1,"информатика, обществознание, экономика, информационная безопасность",ekonomika;informatika;obshchestvo
24,Международная олимпиада школьников «Евразийская лингвистическая олимпиада»,perechen-24,иностранный язык,2,иностранный язык,yazyki
25,Международная олимпиада школьников «Искусство графики»,perechen-25,рисунок,1,изобразительное и прикладные виды искусств,iskusstvo
25,Международная олимпиада школьников «Искусство графики»,perechen-25,графический дизайн,1,изобразительное и прикладные виды искусств,iskusstvo
26,Международная олимпиада школьников Уральского федерального университета «Изумруд»,perechen-26,информатика,3,информатика,informatika
26,Международная олимпиада школьников Уральского федерального университета «Изумруд»,perechen-26,история,3,история,istoriya
26,Международная олимпиада школьников Уральского федерального университета «Изумруд»,perechen-26,математика,3,математика,matematika
26,Международная олимпиада школьников Уральского федерального университета «Изумруд»,perechen-26,обществознание,3,обществознание,obshchestvo
26,Международная олимпиада школьников Уральского федерального университета «Изумруд»,perechen-26,русский язык,3,русский язык,yazyki
26,Международная олимпиада школьников Уральского федерального университета «Изумруд»,perechen-26,физика,3,физика,fizika
26,Международная олимпиада школьников Уральского федерального университета «Изумруд»,perechen-26,химия,3,химия,himiya
27,Межрегиональная олимпиада по праву «ФЕМИДА»,perechen-27,право,2,обществознание,obshchestvo
28,"Межрегиональная олимпиада школьников «Архитектура и искусство» по комплексу предметов (рисунок, композиция)",perechen-28,искусство,1,изобразительное и прикладные виды искусств,iskusstvo
29,Межрегиональная олимпиада школьников «Будущие исследователи - будущее науки»,perechen-29,биология,2,биология,biologiya
29,Межрегиональная олимпиада школьников «Будущие исследователи - будущее науки»,perechen-29,история,2,история,istoriya
29,Межрегиональная олимпиада школьников «Будущие исследователи - будущее науки»,perechen-29,математика,3,математика,matematika
29,Межрегиональная олимпиада школьников «Будущие исследователи - будущее науки»,perechen-29,русский язык,2,русский язык,yazyki
29,Межрегиональная олимпиада школьников «Будущие исследователи - будущее науки»,perechen-29,физика,3,физика,fizika
29,Межрегиональная олимпиада школьников «Будущие исследователи - будущее науки»,perechen-29,химия,2,химия,himiya
30,Межрегиональная олимпиада школьников имени В.Е. Татлина,perechen-30,рисунок,1,"архитектура, градостроительство, дизайн",iskusstvo;inzheneriya
30,Межрегиональная олимпиада школьников имени В.Е. Татлина,perechen-30,композиция,1,"архитектура, градостроительство, дизайн",iskusstvo;inzheneriya
30,Межрегиональная олимпиада школьников имени В.Е. Татлина,perechen-30,графика,1,"архитектура, градостроительство, дизайн",inzheneriya
31,Межрегиональная олимпиада школьников имени И.Я. Верченко,perechen-31,компьютерная безопасность,2,"информационная безопасность, информатика",informatika
31,Межрегиональная олимпиада школьников имени И.Я. Верченко,perechen-31,математика,2,математика,matematika
32,Межрегиональная олимпиада школьников на базе ведомственных образовательных организаций,perechen-32,иностранный язык,2,иностранный язык,yazyki
32,Межрегиональная олимпиада школьников на базе ведомственных образовательных организаций,perechen-32,физика,3,физика,fizika
33,Межрегиональная химическая олимпиада школьников имени академика П.Д. Саркисова,perechen-33,химия,3,химия,himiya
34,Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»,perechen-34,дизайн,1,изобразительное и прикладные виды искусств,iskusstvo
34,Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»,perechen-34,иностранный язык,2,иностранный язык,yazyki
34,Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»,perechen-34,информатика,3,информатика,informatika
34,Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»,perechen-34,история,3,история,istoriya
34,Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»,perechen-34,право,3,обществознание,obshchestvo
34,Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»,perechen-34,русский язык,2,русский язык,yazyki
34,Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»,perechen-34,физика,3,физика,fizika
34,Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»,perechen-34,химия,1,химия,himiya
35,Многопредметная олимпиада «Юные таланты»,perechen-35,география,1,география,nauki-o-zemle
35,Многопредметная олимпиада «Юные таланты»,perechen-35,геология,3,науки о земле,nauki-o-zemle
35,Многопредметная олимпиада «Юные таланты»,perechen-35,химия,1,химия,himiya
36,Многопрофильная инженерная олимпиада «Звезда»,perechen-36,естественные науки,2,"архитектура, техника и технологии строительства, информационная безопасность, электроника, радиотехника и системы связи, фотоника, приборостроение, оптические и биотехнические системы и технологии, электро- и теплоэнергетика, ядерная энергетика и технологии, машиностроение, оружие и системы вооружения, химические технологии, промышленная экология и биотехнологии, техносферная безопасность и природообустройство, прикладная геология, горное дело, нефтегазовое дело и геодезия, технологии материалов, техника и технологии наземного транспорта, авиационная и ракетно-космическая техника, аэронавигация и эксплуатация авиационной и ракетно-космической техники, техника и технологии кораблестроения и водного транспорта, управление в технических системах, нанотехнологии и наноматериалы, технологии легкой промышленности, сельское, лесное и рыбное хозяйство",inzheneriya;informatika;fizika;himiya;biologiya;nauki-o-zemle
36,Многопрофильная инженерная олимпиада «Звезда»,perechen-36,техника и технологии,1,"технологии материалов, машиностроение, фотоника, приборостроение, оптические и биотехнические системы и технологии, авиационная и ракетно-космическая техника, техника и технологии наземного транспорта, техника и технологии кораблестроения и водного транспорта, биотехнология, информационная безопасность, химические технологии",inzheneriya;fizika;informatika;himiya
37,Московская олимпиада школьников,perechen-37,астрономия,2,астрономия,fizika
37,Московская олимпиада школьников,perechen-37,генетика,2,биология,biologiya
37,Московская олимпиада школьников,perechen-37,география,1,география,nauki-o-zemle
37,Московская олимпиада школьников,perechen-37,лингвистика,1,иностранный язык,yazyki
37,Московская олимпиада школьников,perechen-37,информатика,1,информатика,informatika
37,Московская олимпиада школьников,perechen-37,предпрофессиональная,3,"информационная безопасность, информатика и вычислительная техника, машиностроение, промышленная экология и биотехнологии, техносферная безопасность и природообустройство, фотоника, приборостроение, оптические и биотехнические системы и технологии, электроника, радиотехника и системы связи, ядерная энергетика и технологии",informatika;inzheneriya;biologiya;fizika
37,Московская олимпиада школьников,perechen-37,изобразительное искусство,2,искусство,iskusstvo
37,Московская олимпиада школьников,perechen-37,история искусств,1,искусство,iskusstvo
37,Московская олимпиада школьников,perechen-37,история,2,история,istoriya
37,Московская олимпиада школьников,perechen-37,математика,1,математика,matematika
37,Московская олимпиада школьников,perechen-37,вероятность и статистика,2,математика,matematika
37,Московская олимпиада школьников,perechen-37,робототехника,2,"машиностроение, информатика и вычислительная техника",inzheneriya;informatika
37,Московская олимпиада школьников,perechen-37,экология,2,науки о земле,biologiya;nauki-o-zemle
37,Московская олимпиада школьников,perechen-37,обществознание,2,обществознание,obshchestvo
37,Московская олимпиада школьников,perechen-37,право,3,право,obshchestvo
37,Московская олимпиада школьников,perechen-37,физика,1,физика,fizika
37,Московская олимпиада школьников,perechen-37,химия,1,химия,himiya
37,Московская олимпиада школьников,perechen-37,экономика,2,экономика,ekonomika
37,Московская олимпиада школьников,perechen-37,финансовая грамотность,3,экономика,ekonomika
38,Московская открытая олимпиада школьников по геологии,perechen-38,геология,1,науки о земле,nauki-o-zemle
39,Оборонно-техническая олимпиада,perechen-39,техника и технологии,3,"информатика и вычислительная техника, электроника, радиотехника и системы связи, фотоника, приборостроение, оптические и биотехнические системы и технологии, электро- и теплоэнергетика, машиностроение, оружие и системы вооружения, техносферная безопасность и природообустройство, авиационная и ракетно-космическая техника, управление в технических системах",inzheneriya;informatika;fizika
40,Общероссийская олимпиада школьников «Основы православной культуры»,perechen-40,основы православной культуры,3,"история, теология",obshchestvo;istoriya
41,Объединенная межвузовская олимпиада школьников,perechen-41,математика,2,математика,matematika
41,Объединенная межвузовская олимпиада школьников,perechen-41,физика,3,физика,fizika
42,Океан знаний,perechen-42,обществознание,3,обществознание,obshchestvo
42,Океан знаний,perechen-42,русский язык,3,русский язык,yazyki
43,Олимпиада Курчатов,perechen-43,математика,2,математика,matematika
43,Олимпиада Курчатов,perechen-43,физика,2,физика,fizika
44,Олимпиада МГИМО МИД России для школьников,perechen-44,гуманитарные и социальные науки,2,"история, обществознание",istoriya;obshchestvo
45,Олимпиада по комплексу предметов «Культура и искусство»,perechen-45,технический рисунок и декоративная композиция,1,"декоративно-прикладное искусство и народные промыслы, технология художественной обработки материалов, искусство костюма и текстиля, конструирование изделий легкой промышленности, технологии и проектирование текстильных изделий, технология изделий легкой промышленности, информационные системы и технологии, технология полиграфического и упаковочного производства, прикладная информатика, профессиональное обучение (по отраслям)",iskusstvo
45,Олимпиада по комплексу предметов «Культура и искусство»,perechen-45,"академический рисунок, живопись, композиция, история искусства и культуры",1,"дизайн, декоративно-прикладное искусство и народные промыслы, технология художественной обработки материалов, искусство костюма и текстиля, конструирование изделий легкой промышленности, технологии и проектирование текстильных изделий, технология изделий легкой промышленности, информационные системы и технологии, технология полиграфического и упаковочного производства, прикладная информатика, профессиональное обучение (по отраслям)",iskusstvo
46,Олимпиада по химии и химической технологии «Потомки Менделеева»,perechen-46,химия,2,химия,himiya
47,Олимпиада по экономике в рамках международного экономического фестиваля школьников «Сибириада. Шаг в мечту»,perechen-47,экономика,2,экономика,ekonomika
48,Олимпиада РГГУ для школьников,perechen-48,иностранный язык,2,иностранный язык,yazyki
48,Олимпиада РГГУ для школьников,perechen-48,история,2,история,istoriya
48,Олимпиада РГГУ для школьников,perechen-48,литература,1,литература,literatura
48,Олимпиада РГГУ для школьников,perechen-48,обществознание,2,обществознание,obshchestvo
48,Олимпиада РГГУ для школьников,perechen-48,русский язык,2,русский язык,yazyki
49,Олимпиада школьников «Гранит науки»,perechen-49,информатика,2,информатика,informatika
49,Олимпиада школьников «Гранит науки»,perechen-49,естественные науки,3,"науки о земле, электроника, радиотехника и системы связи, фотоника, приборостроение, оптические и биотехнические системы и технологии, электро- и теплоэнергетика, машиностроение, техносферная безопасность и природообустройство, прикладная геология, горное дело, нефтегазовое дело и геодезия, техника и технологии наземного транспорта",nauki-o-zemle;inzheneriya;fizika
49,Олимпиада школьников «Гранит науки»,perechen-49,химия,3,химия,himiya
50,Олимпиада школьников «Ломоносов»,perechen-50,генетика,2,биологические науки,biologiya
50,Олимпиада школьников «Ломоносов»,perechen-50,экология,2,"биологические науки, науки о земле",biologiya;nauki-o-zemle
50,Олимпиада школьников «Ломоносов»,perechen-50,биология,1,биология,biologiya
50,Олимпиада школьников «Ломоносов»,perechen-50,география,1,география,nauki-o-zemle
50,Олимпиада школьников «Ломоносов»,perechen-50,иностранный язык,1,иностранный язык,yazyki
50,Олимпиада школьников «Ломоносов»,perechen-50,информатика,2,информатика,informatika
50,Олимпиада школьников «Ломоносов»,perechen-50,международные отношения и глобалистика,1,история,obshchestvo;istoriya
50,Олимпиада школьников «Ломоносов»,perechen-50,политология,2,история,obshchestvo;istoriya
50,Олимпиада школьников «Ломоносов»,perechen-50,история,1,история,istoriya
50,Олимпиада школьников «Ломоносов»,perechen-50,основы российской государственности,1,"история, обществознание",obshchestvo;istoriya
50,Олимпиада школьников «Ломоносов»,perechen-50,литература,1,литература,literatura
50,Олимпиада школьников «Ломоносов»,perechen-50,математика,1,математика,matematika
50,Олимпиада школьников «Ломоносов»,perechen-50,механика и математическое моделирование,2,математика и механика,matematika
50,Олимпиада школьников «Ломоносов»,perechen-50,космонавтика,2,математика и механика,matematika
50,Олимпиада школьников «Ломоносов»,perechen-50,высокие технологии,1,нанотехнологии и наноматериалы,inzheneriya
50,Олимпиада школьников «Ломоносов»,perechen-50,геология,1,науки о земле,nauki-o-zemle
50,Олимпиада школьников «Ломоносов»,perechen-50,обществознание,1,обществознание,obshchestvo
50,Олимпиада школьников «Ломоносов»,perechen-50,психология,1,психологические науки,obshchestvo
50,Олимпиада школьников «Ломоносов»,perechen-50,русский язык,1,русский язык,yazyki
50,Олимпиада школьников «Ломоносов»,perechen-50,журналистика,1,средства массовой информации и информационно-библиотечное дело,literatura
50,Олимпиада школьников «Ломоносов»,perechen-50,физика,1,физика,fizika
50,Олимпиада школьников «Ломоносов»,perechen-50,религиоведение,2,"философия, этика и религиоведение",obshchestvo
50,Олимпиада школьников «Ломоносов»,perechen-50,философия,1,"философия, этика и религиоведение",obshchestvo
50,Олимпиада школьников «Ломоносов»,perechen-50,химия,1,химия,himiya
50,Олимпиада школьников «Ломоносов»,perechen-50,право,1,юриспруденция,obshchestvo
51,Олимпиада школьников «Надежда энергетики»,perechen-51,физика,3,физика,fizika
52,Олимпиада школьников «Покори Воробьевы горы!»,perechen-52,география,2,география,nauki-o-zemle
52,Олимпиада школьников «Покори Воробьевы горы!»,perechen-52,иностранный язык,1,иностранный язык,yazyki
52,Олимпиада школьников «Покори Воробьевы горы!»,perechen-52,история,1,история,istoriya
52,Олимпиада школьников «Покори Воробьевы горы!»,perechen-52,литература,1,литература,literatura
